Connector Number,Connector Pin Number,Connector Pin Type,Signal Name,Signal Description
1,A1,,VCC_BATT,"PS BBRAM and real-time clock (RTC) supply voltage, requires external battery. Connect to GND when battery is not used."
1,A2,,GND,"Ground, connect to carrier card ground plane"
1,A3,,HPA06_P,HPIO on bank 66
1,A4,,HPA06_N,HPIO on bank 66
1,A5,,GND,"Ground, connect to carrier card ground plane"
1,A6,GC,HPA_CLK0_P,HPIO global clock pin on bank 66
1,A7,GC,HPA_CLK0_N,HPIO global clock pin on bank 66
1,A8,,GND,"Ground, connect to carrier card ground plane"
1,A9,,HPA12_P,HPIO on bank 66
1,A10,,HPA12_N,HPIO on bank 66
1,A11,,GND,"Ground, connect to carrier card ground plane"
1,A12,QBC,HPA13_P,HPIO on bank 66
1,A13,QBC,HPA13_N,HPIO on bank 66
1,A14,,GND,"Ground, connect to carrier card ground plane"
1,A15,HDGC,HDA09,HDIO on bank 45
1,A16,,HDA10,HDIO on bank 45
1,A17,,HDA11,HDIO on bank 45
1,A18,,GND,"Ground, connect to carrier card ground plane"
1,A19,PD50,VCCOEN_PS_M2C,Indication to turn on power for PS I/O peripherals on the carrier card
1,A20,PD50,VCCOEN_PL_M2C,Indication to turn on power for PL /IO peripherals on the carrier card
1,A21,,GND,"Ground, connect to carrier card ground plane"
1,A22,PU18_4p7,JTAG_TMS_C2M,JTAG mode select
1,A23,PU18_4p7,JTAG_TDO_M2C,JTAG data out
1,A24,PU18_4p7,JTAG_TDI_C2M,JTAG data in
1,A25,PU18_4p7,JTAG_TCK_C2M,JTAG clock
1,A26,,GND,"Ground, connect to carrier card ground plane"
1,A27,PU18_4p7,MODE0_C2M,PS mode bit 0
1,A28,PU18_4p7,MODE1_C2M,PS mode bit 1
1,A29,PU18_4p7,MODE2_C2M,PS mode bit 2
1,A30,PU18_4p7,MODE3_C2M,PS mode bit 3
1,A31,,Reserved,No connect on the SOM
1,A32,,Reserved,No connect on the SOM
1,A33,,GND,"Ground, connect to carrier card ground plane"
1,A34,,MIO41,PS MIO signal on bank 501
1,A35,,MIO42,PS MIO signal on bank 501
1,A36,,MIO43,PS MIO signal on bank 501
1,A37,,GND,"Ground, connect to carrier card ground plane"
1,A38,,MIO61,PS MIO signal on bank 502
1,A39,,MIO62,PS MIO signal on bank 502
1,A40,,MIO63,PS MIO signal on bank 502
1,A41,,GND,"Ground, connect to carrier card ground plane"
1,A42,,MIO73,PS MIO signal on bank 502
1,A43,,MIO74,PS MIO signal on bank 502
1,A44,,MIO75,PS MIO signal on bank 502
1,A45,,GND,"Ground, connect to carrier card ground plane"
1,A46,,GND,"Ground, connect to carrier card ground plane"
1,A47,,GTR_DP1_M2C_P,"PS-GTR lane 1 TX, bank 505"
1,A48,,GTR_DP1_M2C_N,"PS-GTR lane 1 TX, bank 505"
1,A49,,GND,"Ground, connect to carrier card ground plane"
1,A50,,GND,"Ground, connect to carrier card ground plane"
1,A51,AC01UF,GTR_REFCLK3_C2M_P,"PS-GTR REFCLK3 input, bank 505"
1,A52,AC01UF,GTR_REFCLK3_C2M_N,"PS-GTR REFCLK3 input, bank 505"
1,A53,,GND,"Ground, connect to carrier card ground plane"
1,A54,,GND,"Ground, connect to carrier card ground plane"
1,A55,,GTR_DP0_C2M_P,"PS-GTR lane 0 RX, bank 505"
1,A56,,GTR_DP0_C2M_N,"PS-GTR lane 0 RX, bank 505"
1,A57,,GND,"Ground, connect to carrier card ground plane"
1,A58,,GND,"Ground, connect to carrier card ground plane"
1,A59,,VCC_SOM,"SOM main supply voltage, +5V"
1,A60,,VCC_SOM,"SOM main supply voltage, +5V"
1,B1,QBC,HPA05_CC_P,HPIO clock-capable pin on bank 66
1,B2,QBC,HPA05_CC_N,HPIO clock-capable pin on bank 66
1,B3,,GND,"Ground, connect to carrier card ground plane"
1,B4,,HPA04_P,HPIO on bank 66
1,B5,,HPA04_N,HPIO on bank 66
1,B6,,GND,"Ground, connect to carrier card ground plane"
1,B7,,HPA07_P,HPIO on bank 66
1,B8,,HPA07_N,HPIO on bank 66
1,B9,,GND,"Ground, connect to carrier card ground plane"
1,B10,GC,HPA11_P,HPIO on bank 66
1,B11,GC,HPA11_N,HPIO on bank 66
1,B12,,GND,"Ground, connect to carrier card ground plane"
1,B13,,VCCO_HDA,"HDA I/O voltage rail, 1.2V to 3.3V"
1,B14,,VCCO_HDA,"HDA I/O voltage rail, 1.2V to 3.3V"
1,B15,,GND,"Ground, connect to carrier card ground plane"
1,B16,,HDA03,HDIO on bank 45
1,B17,,HDA04,HDIO on bank 45
1,B18,,HDA05,HDIO on bank 45
1,B19,,GND,"Ground, connect to carrier card ground plane"
1,B20,,HDA15,HDIO on bank 45
1,B21,HDGC,HDA16_CC,HDIO clock-capable pin on bank 45
1,B22,HDGC,HDA17,HDIO on bank 45
1,B23,,GND,"Ground, connect to carrier card ground plane"
1,B24,,PS_ERROR_OUT_M2C,PS error indication from SOM
1,B25,,PS_ERROR_STATUS_M2C,PS error status from SOM
1,B26,PU50,PWROFF_C2M_L,Control signal to turn off all power rails on the SOM
1,B27,,GND,"Ground, connect to carrier card ground plane"
1,B28,,MIO35_WD_OUT,PS MIO signal on bank 501. Optional use as PMU output. Default use as PMU watchdog output in the released Kria PetaLinux BSPs.
1,B29,,MIO36,PS MIO signal on bank 501. Optional use as PMU output. Default use as UART txd in the released Kria PetaLinux BSPs.
1,B30,,MIO37,PS MIO signal on bank 501. Optional use as PMU output. Default use as UART rxd in the released Kria PetaLinux BSPs.
1,B31,,GND,"Ground, connect to carrier card ground plane"
1,B32,,MIO38,PS MIO signal on bank 501
1,B33,,MIO39,PS MIO signal on bank 501
1,B34,,MIO40,PS MIO signal on bank 501
1,B35,,GND,"Ground, connect to carrier card ground plane"
1,B36,,MIO50,PS MIO signal on bank 501
1,B37,,MIO51,PS MIO signal on bank 501
1,B38,,Reserved,Not connected to SOM connector
1,B39,,GND,"Ground, connect to carrier card ground plane"
1,B40,,MIO58,PS MIO signal on bank 502
1,B41,,MIO59,PS MIO signal on bank 502
1,B42,,MIO60,PS MIO signal on bank 502
1,B43,,GND,"Ground, connect to carrier card ground plane"
1,B44,,MIO70,PS MIO signal on bank 502
1,B45,,MIO71,PS MIO signal on bank 502
1,B46,,MIO72,PS MIO signal on bank 502
1,B47,,GND,"Ground, connect to carrier card ground plane"
1,B48,,GND,"Ground, connect to carrier card ground plane"
1,B49,AC01UF,GTR_REFCLK1_C2M_P,"PS-GTR REFCLK1 input, bank 505"
1,B50,AC01UF,GTR_REFCLK1_C2M_N,"PS-GTR REFCLK1 input, bank 505"
